# 全国票房  0点预售  排座占比  实际票房
182152417 6814713 0.1473  19072117
182152417 4745  0.001 17737
98950193  11864728  0.1533  41058955
98950193  1713434 0.0806  3800597
229863023 36731477  0.4214  137110216
229863023 6570683 0.1395  23227922
229863023 1467313 0.0296  2761710
229863023 314831  0.0167  596359
90347691  2293173 0.0644  6764399
90347691  2665  0.0004  5752
164849211 26744569  0.4686  107234603
164849211 3597592 0.1079  7266441
148669889 4288128 0.0994  10700994
148669889 16014 0.0001  59233
148669889 5899  0.0002  14755
148669889 1108  0.0002  1281
88468646  1312964 0.0064  4300048
95871376  8385561 0.3455  34512952
87118803  1567244 0.0666  5967193
87118803  208570  0.004 1284512
110349601 5708462 0.2363  26235367
110349601 2050811 0.0741  5374691
110349601 1158915 0.0269  2087368
110349601 30200 0.0003  233195
110349601 25691 0.0011  46915
31726073  2203  0.0003  11941
